category,area_code,area_name,latitude,longitude,weather_x,weather_y
관광특구,POI001,강남 MICE 관광특구,37.5112843816696,127.06005155384705,62,127
관광특구,POI002,동대문 관광특구,37.567214101532834,127.00755049391576,61,128
관광특구,POI003,명동 관광특구,37.56414013472864,126.98288393316864,61,128
관광특구,POI004,이태원 관광특구,37.53475718815058,126.99591956660342,61,127
관광특구,POI005,잠실 관광특구,37.51868923685722,127.11694379878114,63,127
관광특구,POI006,종로·청계 관광특구,37.56984229024498,126.99866678943675,61,128
관광특구,POI007,홍대 관광특구,37.55506170187393,126.92159115672915,60,127
고궁·문화유산,POI008,경복궁,37.5809150911806,126.97764726625209,61,128
고궁·문화유산,POI009,광화문·덕수궁,37.56847081447724,126.97620594802834,61,128
고궁·문화유산,POI010,보신각,37.57089797616037,126.98337607511172,61,128
고궁·문화유산,POI011,서울 암사동 유적,37.56102809827398,127.13078491934499,63,128
고궁·문화유산,POI012,창덕궁·종묘,37.5795304952381,126.99416802285715,61,128
인구밀집지역,POI013,가산디지털단지역,37.48267268376068,126.88014526210826,59,126
인구밀집지역,POI014,강남역,37.50019794543511,127.02822145618981,62,126
인구밀집지역,POI015,건대입구역,37.540005312302846,127.06718185804415,62,127
인구밀집지역,POI016,고덕역,37.553377141111774,127.15503341723486,64,127
인구밀집지역,POI017,고속터미널역,37.50472316731823,127.00542276570697,61,126
인구밀집지역,POI018,교대역,37.49185444557083,127.01456630812736,61,126
인구밀집지역,POI019,구로디지털단지역,37.48349491938897,126.89557915984915,59,126
인구밀집지역,POI020,구로역,37.501517014484925,126.88285531403136,59,126
인구밀집지역,POI021,군자역,37.555916439038526,127.08008933356267,63,128
인구밀집지역,POI022,남구로역,37.484184300878496,126.88539683418863,59,126
인구밀집지역,POI023,대림역,37.492818237753816,126.89567307890546,59,126
인구밀집지역,POI024,동대문역,37.57127393968462,127.0096854515538,61,128
인구밀집지역,POI025,뚝섬역,37.548249670448335,127.04603079475764,62,127
인구밀집지역,POI026,미아사거리역,37.61244898963818,127.0305835226811,62,129
인구밀집지역,POI027,발산역,37.55796811527854,126.84179723439551,58,127
인구밀집지역,POI028,북한산우이역,37.66281154490492,127.01070580250341,61,130
인구밀집지역,POI029,사당역,37.47635049189678,126.98129519152415,61,126
인구밀집지역,POI030,삼각지역,37.535323919468816,126.97392611189508,61,127
인구밀집지역,POI031,서울대입구역,37.48060991955129,126.95360407634334,60,126
인구밀집지역,POI032,서울식물원·마곡나루역,37.56745047572558,126.82986126533689,58,128
인구밀집지역,POI033,서울역,37.55662336923077,126.97216878769233,61,127
인구밀집지역,POI034,선릉역,37.50584166753116,127.0489100692203,62,126
인구밀집지역,POI035,성신여대입구역,37.59262801654558,127.01658994286346,61,128
인구밀집지역,POI036,수유역,37.641215514705884,127.02565393627451,62,129
인구밀집지역,POI037,신논현역·논현역,37.50848054554439,127.02291493850254,62,126
인구밀집지역,POI038,신도림역,37.50941493666961,126.89096014067083,59,126
인구밀집지역,POI039,신림역,37.48396968904173,126.92987028995233,60,126
인구밀집지역,POI040,신촌·이대역,37.55564146783625,126.93761215497075,60,127
인구밀집지역,POI041,양재역,37.48451422353994,127.03551115644439,62,126
인구밀집지역,POI042,역삼역,37.50011177778084,127.03721339389585,62,126
인구밀집지역,POI043,연신내역,37.61903547457627,126.92180184322034,60,129
인구밀집지역,POI044,오목교역·목동운동장,37.53174788866626,126.87924768246015,59,127
인구밀집지역,POI045,왕십리역,37.561636745463275,127.03857508984515,62,128
인구밀집지역,POI046,용산역,37.53059674809017,126.95953798376128,61,127
인구밀집지역,POI047,이태원역,37.534847968613946,126.99261390234051,61,127
인구밀집지역,POI048,장지역,37.47861018962738,127.12424263037641,63,126
인구밀집지역,POI049,장한평역,37.562849061361526,127.06235115915185,62,128
인구밀집지역,POI050,천호역,37.53921065146112,127.12470374198884,63,127
인구밀집지역,POI051,총신대입구(이수)역,37.48677821828824,126.9807539648491,61,126
인구밀집지역,POI052,충정로역,37.559524839900476,126.9642059673645,61,128
인구밀집지역,POI053,합정역,37.54857307399022,126.91084543497917,60,127
인구밀집지역,POI054,혜화역,37.58237426286851,127.0014404389915,61,128
인구밀집지역,POI055,홍대입구역(2호선),37.5560688250626,126.92329766229786,60,127
인구밀집지역,POI056,회기역,37.590538258503685,127.05700039395965,62,128
발달상권,POI057,4·19 카페거리,37.64481185893745,127.00739701908337,61,129
발달상권,POI058,가락시장,37.49445476721721,127.11054976163454,63,126
발달상권,POI059,가로수길,37.522662622516556,127.02543305960263,62,127
발달상권,POI060,광장(전통)시장,37.569817036518465,127.00014893169192,61,128
발달상권,POI061,김포공항,37.56228914604604,126.80289965159135,58,128
발달상권,POI062,낙산공원·이화마을,37.580295002146926,127.00692469978675,61,128
발달상권,POI063,노량진,37.513690699957316,126.94907070192423,60,127
발달상권,POI064,덕수궁길·정동길,37.5659744042236,126.97244482634493,61,128
발달상권,POI065,방배역 먹자골목,37.48234102283986,126.99597969571558,61,126
발달상권,POI066,북촌한옥마을,37.58425649416171,126.98386049085175,61,128
발달상권,POI067,서촌,37.58018833392947,126.9666234325548,61,128
발달상권,POI068,성수카페거리,37.54227657813654,127.05560237183015,62,127
발달상권,POI069,수유리 먹자골목,37.64270823057644,127.02733855833522,62,129
발달상권,POI070,쌍문동 맛집거리,37.6477285443038,127.03242528481013,62,129
발달상권,POI071,압구정로데오거리,37.52560441860466,127.04040171511626,62,127
발달상권,POI072,여의도,37.52549260943663,126.92338937129487,60,127
발달상권,POI073,연남동,37.561426426204264,126.92406273242905,60,128
발달상권,POI074,영등포 타임스퀘어,37.51653179760669,126.90523931614634,60,127
발달상권,POI075,외대앞,37.59442412843283,127.06153833102397,62,128
발달상권,POI076,용리단길,37.5311056439386,126.97147359358237,61,127
발달상권,POI077,이태원 앤틱가구거리,37.53187270743738,126.99343376513602,61,127
발달상권,POI078,인사동·익선동,37.5741577489609,126.98736374162822,61,128
발달상권,POI079,창동 신경제 중심지,37.656167961335676,127.05328808787348,62,130
발달상권,POI080,청담동 명품거리,37.52645537152884,127.04354058968364,62,127
발달상권,POI081,청량리 제기동 일대 전통시장,37.579977738703214,127.0382790126348,62,128
발달상권,POI082,해방촌·경리단길,37.54143829714048,126.98836800969178,61,127
발달상권,POI083,DDP(동대문디자인플라자),37.56654201564661,127.00993045294622,61,128
발달상권,POI084,DMC(디지털미디어시티),37.577407110655734,126.8936691147541,59,128
공원,POI085,강서한강공원,37.5858708295553,126.82002478578644,58,128
공원,POI086,고척돔,37.49776790791694,126.86713336195083,59,126
공원,POI087,광나루한강공원,37.550866089267345,127.12370647922764,63,127
공원,POI088,광화문광장,37.57505062349029,126.97680679071502,61,128
공원,POI089,국립중앙박물관·용산가족공원,37.52202119313341,126.9824679850178,61,127
공원,POI090,난지한강공원,37.566316740172454,126.87770001597329,59,128
공원,POI091,남산공원,37.555070650369004,126.99365012730628,61,127
공원,POI092,노들섬,37.517556872131706,126.95871397855296,60,127
공원,POI093,뚝섬한강공원,37.52882503002481,127.07460742502332,62,127
공원,POI094,망원한강공원,37.55480087656761,126.89823749216892,59,127
공원,POI095,반포한강공원,37.51065462735107,126.99457550649858,61,127
공원,POI096,북서울꿈의숲,37.62244979881656,127.04069568441815,62,129
공원,POI097,불광천,37.58940646530798,126.91194122899687,60,128
공원,POI098,서리풀공원·몽마르뜨공원,37.49022054658995,127.00173655775917,61,126
공원,POI100,서울대공원,37.42839607329216,127.01863790236284,62,125
공원,POI101,서울숲공원,37.54402680167043,127.03673083133076,62,127
공원,POI099,서울광장,37.5655010296151,126.97798702124584,61,128
공원,POI102,아차산,37.56307021845223,127.10047918048643,63,128
공원,POI103,양화한강공원,37.54029653900909,126.89963558394624,59,127
공원,POI104,어린이대공원,37.54957100980681,127.0824313180458,63,127
공원,POI105,여의도한강공원,37.52868909088513,126.92627587984478,60,127
공원,POI106,월드컵공원,37.5660391150387,126.88740201899091,59,128
공원,POI107,응봉산,37.54797346368485,127.02904643771303,62,127
공원,POI108,이촌한강공원,37.52139035897837,126.96356631928725,61,127
